commit	val_bpb	memory_gb	status	description
2dc3a78	1.112114	6.8	discard	sqrt LR decay schedule (linear is better)
62e5607	1.114778	6.8	discard	add weight decay 0.01 to embeddings (hurts)
075ea30	1.106866	6.8	discard	increase embedding LR from 0.8 to 1.0
5b9a820	1.107736	6.8	discard	increase unembedding LR from 0.008 to 0.01
aafc7b8	1.107466	6.8	discard	increase scalar LR from 1.0 to 1.5
7111b73	1.108302	6.8	discard	reduce scalar LR from 1.0 to 0.5
c7daf1c	1.107701	6.8	discard	increase resid_lambdas LR 10x
7770c07	1.107923	6.8	discard	reduce embedding LR from 0.8 to 0.6
70bfcb2	1.107479	6.8	discard	change Adam eps from 1e-10 to 1e-8
a88798d	1.107397	6.8	discard	try short window seq_len/12
1f9b71d	1.106988	6.8	discard	extend Muon momentum warmup from 300 to 600 steps
4be2a04	1.112610	7.4	discard	add 5% dropout to MLP (hurts)
300c511	1.107022	6.8	discard	reduce VE gate channels from 32 to 16
73d167c	1.107709	6.8	discard	lower Muon momentum init from 0.85 to 0.80
36c39a8	0.000000	0.0	crash	simplify VE to direct addition (unused gate params crash)
8e3fd1d	1.106210	6.8	keep	reduce logit softcap from 15 to 12
32dee36	1.106659	6.8	discard	reduce logit softcap from 12 to 10 (too low)
bd31775	1.106719	6.8	discard	try logit softcap 11
d902738	1.106893	6.8	discard	increase Adam beta2 from 0.95 to 0.99
38f2c5a	1.107914	6.8	discard	slower WD decay (halve instead of zero)
8caf3b7	1.106492	6.8	discard	reduce compile warmup from 10 to 5 steps
c4f1025	1.106783	6.8	discard	scale lambda inits inversely with depth (5/6, 1/6)
fe20d64	1.107572	6.8	discard	increase Muon initial momentum from 0.85 to 0.90
5ebfe6b	1.106612	6.8	discard	reduce init scale from sqrt(3)/sqrt(d) to 1/sqrt(d)
6bab55f	1.108870	6.8	discard	double init scale
69709ad	1.106489	6.8	discard	try logit softcap 13
b05ad98	1.107942	7.8	discard	increase depth from 6 to 7 (same model_dim=384)
f8ffe36	1.107758	6.8	discard	remove NorMuon code entirely (per-row norm helps)
aea94b8	1.107825	6.7	discard	VE every 3rd layer instead of alternating (fewer VE hurts)
cc996e4	1.106528	6.8	discard	linearly increasing x0_lambdas (0.05 to 0.15 across layers)
9d1dd60	1.106022	6.8	keep	reduce resid_lambdas init from 0.9 to 0.85
bf3b42c	1.106294	6.8	discard	reduce resid_lambdas init from 0.85 to 0.80
62282fe	1.106298	6.8	discard	increase x0_lambdas init from 0.1 to 0.15
31fa2db	1.106421	6.8	discard	reduce x0_lambdas init from 0.1 to 0.05
b5df3f3	1.105592	6.8	keep	reduce final LR fraction from 0.05 to 0.03
b40fc57	1.106040	6.8	discard	reduce final LR fraction from 0.03 to 0.01 (too low)
10a143b	1.105568	6.8	keep	reduce final LR fraction from 0.03 to 0.02
3425fb5	1.105967	6.8	discard	reduce compile warmup from 10 to 5 steps
26ec090	1.107439	6.8	discard	replace ReluSquared with GeluSquared
c1503d7	1.106669	6.8	discard	reduce Adam beta2 from 0.95 to 0.90
e67ccc6	1.105931	6.8	discard	WD decays to 50% instead of 0
b696e9a	1.108374	6.8	discard	remove cautious WD (standard WD much worse)
1fb6f57	1.105697	6.8	discard	increase weight decay from 0.1 to 0.12
4e59863	1.106572	6.8	discard	reduce short window from seq_len/8 to seq_len/10
98b3ac9	1.106000	6.8	discard	reduce lm_head init std from 0.001 to 0.0001
d2b6b3f	1.107226	6.8	discard	normal init instead of uniform for transformer weights
8adfb59	1.107534	6.8	discard	VE gate without 2x multiplier (sigmoid only)
cdc2ec0	1.105089	6.8	keep	reduce Muon final momentum from 0.95 to 0.90
6fc074b	1.106091	6.8	discard	constant Muon momentum 0.85 (no warmup)
c9bdc6f	1.104651	6.8	keep	lower Muon momentum init from 0.85 to 0.80
44236ef	1.104799	6.8	discard	lower Muon momentum init from 0.80 to 0.75
aedd0b6	1.106003	6.8	discard	reduce Muon final momentum from 0.90 to 0.85
629b6b2	1.104757	6.8	discard	increase Muon final momentum from 0.90 to 0.925
5ebbbfb	1.105204	6.8	discard	reduce embedding init std from 1.0 to 0.5
da20191	1.104618	6.8	keep	faster Muon momentum warmup (200 steps instead of 300)
227e7d6	1.104849	6.8	discard	faster Muon momentum warmup (100 steps too fast)
ab393c8	1.110649	6.8	discard	add 1% LR warmup (hurts significantly)
e45c694	1.106006	6.8	discard	halve value embedding LR (0.8 -> 0.4)
4b7d007	1.104508	6.8	keep	reduce x0_params Adam beta1 from 0.96 to 0.9
d8cf0fe	1.105077	6.8	discard	use standard Adam betas (0.8, 0.95) for x0_params
430f9dc	1.105245	6.8	discard	double resid_lambdas LR from 0.01 to 0.02
04c6f09	1.105460	6.8	discard	increase x0_lambdas LR from 1.0 to 1.5
5065544	1.104742	6.8	discard	increase x0_params Adam beta2 from 0.95 to 0.99
ef9dde4	1.105399	6.8	discard	increase matrix LR from 0.05 to 0.055
ea0a715	1.105612	6.8	discard	reduce matrix LR from 0.05 to 0.045
6311842	1.107487	6.8	discard	constant weight decay (no decay schedule)
5ace008	1.105529	6.8	discard	sqrt WD decay schedule (slower decay)
17e42d2	1.106745	6.8	discard	force last 2 layers to full context (slower)
b100496	1.104813	6.8	discard	reduce softcap from 12 to 11
1242e52	1.105842	6.8	discard	increase softcap from 12 to 14
80a7c79	1.105358	6.8	discard	try seed 123 instead of 42
e667b29	1.105608	6.8	discard	reduce VE gate channels from 32 to 8
a7e83c5	1.108273	6.8	discard	first and last layers full context (too slow)
fe5f031	1.105927	6.8	discard	increase embedding LR from 0.8 to 1.0
f68bb7d	1.106473	6.8	discard	reduce unembedding LR from 0.008 to 0.006
fea0d84	1.105775	6.8	discard	increase unembedding LR from 0.008 to 0.01
6d5cc37	1.104863	6.8	discard	couple WD decay to LR schedule (close but linear better)
30ca453	1.104928	6.8	discard	quadratic WD decay (faster decay at end)
d0bc670	1.104896	6.8	discard	add small WD (0.01) to lm_head
c32ddb2	1.106349	6.8	discard	constant Muon momentum 0.90 (warmup important)
ce85baf	1.104585	6.8	discard	increase Polar Express norm factor from 1.02 to 1.05
a20ed48	1.105387	6.8	discard	remove Polar Express norm factor (1.02 -> 1.0)
5629181	1.107501	6.8	discard	small random init for c_proj (zero init better)
7764e84	1.104649	6.8	discard	use betas (0.9, 0.95) for resid_params
42cd42c	1.105648	6.8	discard	reduce embedding LR from 0.8 to 0.7
82d371e	1.106521	6.8	discard	try short window seq_len/7
e28904a	1.105557	6.8	discard	try short window seq_len/9
0129656	1.108765	6.8	discard	increase Adam eps from 1e-10 to 1e-6
218820b	1.105213	6.8	discard	increase VE gate multiplier from 2 to 3
47afe89	1.106422	8.8	discard	reduce global Adam beta1 from 0.8 to 0.7
4397646	1.431542	8.8	discard	label smoothing 0.1 (way too aggressive)
f5f79c5	1.146664	8.8	discard	label smoothing 0.01 (still hurts BPB metric)
81bbcee	0.000000	0.0	crash	stochastic depth (missing grads crash Muon)
9d27687	1.105386	6.8	discard	gradient clipping max_norm=1.0
9988751	1.108329	6.8	discard	Muon momentum decay 0.95->0.85 (reverse warmup worse)
8092493	1.109408	7.8	discard	increase depth from 6 to 7 (not enough training time)
ef61539	1.108277	6.8	discard	cosine LR decay instead of linear
2640444	1.106906	6.8	discard	RMSNorm after ReluSquared in MLP
f8f9bda	1.105711	7.4	discard	MLP hidden ratio 5x instead of 4x
901c97d	1.107489	6.8	discard	Muon ns_steps 4 instead of 5
891bbcd	1.156441	6.9	discard	double TOTAL_BATCH_SIZE to 2^17 (half the steps)
86f2754	1.112199	3.5	discard	halve batch to 2^15 (more steps but noisy)
5890643	1.107353	6.8	discard	wider short window seq_len/6 instead of /8
378c47e	1.109377	6.8	discard	HEAD_DIM=64 6 heads (smaller heads worse)
04c4419	1.110285	6.8	discard	WD=0.01 on embeddings
976b4cf	1.106812	6.8	discard	two full-context layers instead of one
04638d1	1.105054	6.8	discard	embedding init std 0.5 (close but not better)
651b034	1.104367	6.8	keep	embedding init std 0.7
05c169f	1.104898	6.8	discard	embedding init std 0.6
7e353b9	1.105145	6.8	discard	embedding init std 0.8
c6ddd8c	1.127848	6.8	discard	lm_head init std 0.01 (too large)
38f5b0e	0.000000	0.0	crash	VE gate tanh instead of sigmoid (OOM - GPU contention)
a5d313a	1.135268	6.8	discard	WEIGHT_DECAY 0.15 (too high)
9e8b010	1.117917	6.8	discard	SwiGLU MLP instead of ReluSquared (GPU2 baseline 1.114)
b8e684b	1.104929	6.8	discard	value embeddings normal init std=0.7
a2b17f2	1.105130	6.8	discard	Muon final momentum 0.88 instead of 0.90
528741b	1.132974	6.8	discard	softcap 10 (too restrictive)
0eb1bec	1.144660	6.8	discard	late momentum reduction (very bad)
4939d0a	1.145511	7.8	discard	z-loss 1e-4 (too strong)
d0d77b1	1.144610	6.8	discard	weight init sqrt(2) instead of sqrt(3)
a476c80	1.143863	6.8	discard	VE gate 64 channels instead of 32
1ce1d5f	1.106630	7.0	discard	VE on every layer instead of alternating
fa1d38e	1.110712	6.8	discard	2% LR warmup
cceda92	1.120137	6.2	discard	parallel attn+MLP (GPT-J style)
9d26a2a	1.107575	6.8	discard	x0 mixing after block instead of before
6e90744	1.105161	6.8	discard	EMBEDDING_LR 1.0 instead of 0.8
ed78c02	1.104658	6.8	discard	WARMDOWN_RATIO 0.9 (close but worse)
340fabb	1.104740	6.8	discard	WARMDOWN_RATIO 0.95
fc3d0c1	1.108112	6.8	discard	random seed 137
2679ae9	1.105584	6.8	discard	UNEMBEDDING_LR 0.01
7f3306d	1.105755	6.8	discard	MATRIX_LR 0.055
b87b85d	1.109461	6.8	discard	sqrt LR warmdown
521a7cc	1.105139	6.8	discard	WEIGHT_DECAY 0.08
3c052e9	1.105663	6.8	discard	halve value_embeds LR
5f8a2b8	1.105674	6.8	discard	MATRIX_LR 0.045
dbd1a28	1.105856	6.8	discard	Muon beta2=0.999
b06907e	1.105458	6.8	discard	EMBEDDING_LR 0.7
6d388f3	1.105489	6.8	discard	RoPE base 50000
8f4dffe	1.106341	6.8	discard	softcap 15
9c376fa	1.114629	6.8	discard	remove softcap entirely
5098d20	1.115206	6.1	discard	GQA n_kv_head=1 (too few KV params)
9af797e	1.107956	6.8	discard	alternating SL window pattern
6c31548	1.106435	6.8	discard	SCALAR_LR 1.5
7d048c8	1.104980	6.8	discard	FINAL_LR_FRAC 0.015
22794b9	1.105001	6.8	discard	FINAL_LR_FRAC 0.025
c6d9f32	0.000000	0.0	crash	bias in c_proj (1D param crashes Muon)
446311e	1.102453	7.5	keep	depth=5 aspect_ratio=86 (512-dim 4-head wider model)
6e21089	1.114322	7.6	discard	depth=4 640-dim (too wide too few layers)
a1fb6a6	1.116331	9.2	discard	depth=5 640-dim (too many params for budget)
2603b90	1.103146	7.5	discard	MATRIX_LR 0.04 on wider model
3990b82	1.102980	7.5	discard	MATRIX_LR 0.06 on wider model
03f5b76	1.166516	4.0	discard	DEVICE_BATCH_SIZE=16 grad_accum=2 (much worse)
5c97df6	1.101892	7.5	keep	resid_lambdas=0.90 for depth=5 model
a601555	1.102088	7.5	discard	resid_lambdas=0.95 (too high)
d6200b4	1.104495	7.5	discard	x0_lambdas=0.15 (too high)
7cdb9e8	1.102627	7.5	discard	x0_lambdas=0.05 (too low)
64c7e3b	1.103064	7.5	discard	EMBEDDING_LR=1.0 (too high)
555378c	1.101588	7.5	keep	EMBEDDING_LR=0.6 (lower is better for wider model)
4922b14	1.104735	7.5	discard	EMBEDDING_LR=0.4 (too low)
8fb62b7	1.103361	7.5	discard	UNEMBEDDING_LR=0.01 (too high)
91de692	1.101661	7.5	discard	UNEMBEDDING_LR=0.006 (slightly worse)
282814f	1.103041	7.5	discard	Muon momentum final=0.95 (too high)
8094b34	1.106320	7.5	discard	short_window=512 (too slow fewer steps)
ac465bc	1.103746	7.5	discard	constant weight decay (worse than linear decay)
b1e3ac1	1.102929	6.9	discard	MLP 3x ratio (less capacity outweighs more steps)
37e0641	1.105178	7.5	discard	remove dmodel_lr_scale (LRs too high without scaling)
348eec7	1.109556	8.8	discard	SwiGLU (too many params too few steps)
5e276ee	0.000000	0.0	crash	SwiGLU 8/3x hidden (OOM)
25d4851	1.101046	7.5	keep	WEIGHT_DECAY=0.08 (lower WD for wider model)
dca3617	1.101963	7.5	discard	WEIGHT_DECAY=0.06 (too low)
39a7dca	1.104512	7.5	discard	ADAM_BETAS=(0.9,0.95) (too high beta1)
5428dd1	1.101962	7.5	discard	FINAL_LR_FRAC=0.01 (too low)
dbb79ea	1.102264	7.5	discard	embedding init std=0.5 (worse for wider)
1b5d675	1.101922	7.5	discard	softcap=10 (worse for wider model)
481c1cb	1.101269	7.5	discard	SCALAR_LR=0.5 (slightly worse)
ff97aeb	1.111810	6.7	discard	HEAD_DIM=64 (model shrunk to 448-dim due to rounding)
38c813b	1.122821	10.7	discard	depth=6 512-dim (55.7M params only 852 steps)
b6c2b38	1.102337	7.5	discard	momentum warmup 0.85->0.90/300 (worse)
242ed42	1.104724	7.5	discard	x0_lambdas init=0 (x0 residual needed from start)
1ce8bf0	1.102078	7.5	discard	MATRIX_LR=0.045 (slightly worse)
06a4cb3	1.102913	7.5	discard	standard WD (cautious is better)
a8de0f5	1.101781	7.5	discard	Polar Express norm 1.0 (slightly worse)
68c9e00	1.110311	7.5	discard	lm_head init std=0.01 (much worse)
aca9540	1.102015	7.5	discard	EMBEDDING_LR=0.7 (0.6 is optimal)
85fed19	1.101340	7.5	discard	GQA n_kv_head=2 (slightly worse)
093d466	1.104731	7.5	discard	resid_lambdas=0.92 (0.90 is optimal)
2a42e69	1.102452	7.5	discard	VE gate init uniform(0,0.1) (worse)
aaec72b	1.110631	7.1	discard	HEAD_DIM=96 480-dim (too narrow)
170f4d7	1.102284	7.5	discard	WD warmup 10% (worse)
0544624	1.108406	7.5	discard	attn c_proj small random init (zero init better)
6405115	1.107457	7.5	discard	WARMUP_RATIO=0.02 (warmup still harmful)
2e4892d	1.102478	7.5	discard	ADAM_BETAS=(0.8,0.99) (higher beta2 worse)
f8e1663	1.100955	7.5	keep	ADAM_BETAS=(0.7,0.95) (lower beta1 helps)
3c9bd6d	1.100935	7.5	keep	ADAM_BETAS=(0.6,0.95) (even lower beta1 helps)
7d11000	1.100919	7.5	keep	ADAM_BETAS=(0.5,0.95) (lower beta1 continues helping)
bbbafaf	1.102050	7.5	discard	ADAM_BETAS=(0.4,0.95) (too low)
b69c077	1.101718	7.5	discard	x0_params betas matching main (x0 needs higher beta1)
c1192f5	1.100778	7.5	keep	EMBEDDING_LR=0.5 with beta1=0.5 (re-tuned)
62f04b5	1.100673	7.5	keep	EMBEDDING_LR=0.4 (continues improving)
0a7f71a	1.100836	7.5	discard	EMBEDDING_LR=0.3 (too low)
cbf98de	1.103834	7.5	discard	UNEMBEDDING_LR=0.006 with beta1=0.5 (worse)
59fd1ee	1.101399	7.5	discard	UNEMBEDDING_LR=0.01 (worse)
24964ad	1.100779	7.5	discard	WEIGHT_DECAY=0.1 re-test (essentially tied 0.08 still better)
320de24	1.100754	7.5	discard	FINAL_LR_FRAC=0.03 (within noise but slightly worse)
d62dc26	1.100956	7.5	discard	VE gate channels=16 (slightly worse)
9fe0b5c	1.114780	7.3	discard	disable VE (critical component)
9f3ed20	1.101521	7.5	discard	z-loss 1e-5 (still harmful)
dac4568	1.101953	7.5	discard	resid_params LR=0.05 (too fast)
f7534c9	1.117857	6.9	discard	remove QK-norm (critical for performance)
a3c5862	1.101091	7.5	discard	embedding init std=0.6 (0.7 still optimal)
d3a0d91	1.105744	7.5	discard	seed=0 (worse than 42)
362ef9c	1.104675	7.5	discard	sqrt warmdown (worse than linear)
dccc40a	1.109692	7.5	discard	quadratic warmdown (much worse)
dd043e9	1.100783	7.5	discard	VE LR halved (slightly worse)
f5312d6	1.100027	7.5	keep	embedding WD=0.01 (significant improvement)
de3aa1a	1.104122	7.5	discard	embedding WD=0.02 (too much)
5b33a12	1.098883	7.5	keep	embedding WD=0.005 (major improvement!)
1523c7d	1.099105	7.5	discard	embedding WD=0.003 (slightly worse)
4a225a9	1.099314	7.5	discard	embedding WD=0.007 (too much)
248105e	1.098804	7.5	keep	embedding WD=0.004 (tiny improvement)
be72df0	1.098932	7.5	discard	lm_head WD=0.004 (slightly worse)
c2fe449	1.099300	7.5	discard	MATRIX_LR=0.055 (worse)
03beb57	1.099415	7.5	discard	Muon WD=0.06 re-test (0.08 still optimal)
89925a5	1.101534	7.5	discard	normal init (uniform is better)
8ccd7d5	1.099058	7.5	discard	VE WD=0.002 (same as wte better)
512dcbc	1.098463	7.5	keep	softcap=14 (improvement!)
c16b951	1.099088	7.5	discard	softcap=16 (too high)
9d49d69	1.098051	7.5	keep	softcap=13 (improvement!)
656d4d0	1.097807	7.5	keep	softcap=12 (improvement!)
812b49f	1.097698	7.5	keep	softcap=11 (improvement!)
6530143	1.097982	7.5	discard	softcap=10 (11 is better)
bd1c9bb	1.098435	7.5	discard	EMBEDDING_LR=0.35 (0.4 still optimal)
7279c22	1.098007	7.5	discard	EMBEDDING_LR=0.45 (0.4 still optimal)
f5c2e29	1.098097	7.5	discard	MATRIX_LR=0.055 (0.05 still optimal)
043fee5	1.099127	7.5	discard	short_window=seq_len/6 (slower and worse)
fe4e048	1.098727	7.5	discard	short_window=seq_len/10 (too small)
aa7492e	1.098216	7.5	discard	VE gate scale 1.5 (2.0 still better)
c54bc9a	1.099033	7.5	discard	Muon momentum to 0.95 (0.90 is better)
dbac2fc	1.098382	7.5	discard	embedding init std=0.8 (0.7 still better)
78cead9	1.098061	7.5	discard	embedding WD=0.005 (0.004 still optimal)
1648253	1.098464	7.5	discard	UNEMBEDDING_LR=0.009 (0.008 still optimal)
85e1d52	0.000000	0.0	crash	TOTAL_BATCH_SIZE=32K (assertion error)
0be80bd	1.164510	7.6	discard	TOTAL_BATCH_SIZE=131K (too few steps)
3073c1f	1.097984	7.5	discard	ns_steps=6 (5 still better)
6fb24ca	1.106230	7.5	discard	lm_head init std=0.01 (0.001 much better)
e67269a	1.100577	7.5	discard	c_proj small init (zeros better)
48fef43	1.098684	7.5	discard	Muon beta2=0.999 (None still better)
b3f6531	1.097553	7.5	keep	rotary base=50000 (improvement!)
77f22fa	1.098386	7.5	discard	rotary base=100000 (too high)
76634c5	1.098049	7.5	discard	rotary base=30000 (50000 better)
3d8a4a2	1.097734	7.5	discard	rotary base=70000 (50000 better)
b5f12f2	1.097788	7.5	discard	rotary base=40000 (50000 better)
2ad8fc4	1.097756	7.5	discard	PE norm factor=1.01 (1.02 better)
25be6b6	1.100835	7.5	discard	WINDOW_PATTERN=SSL (slower, worse)
d07c1b6	1.097897	7.5	discard	decay embedding WD (fixed better)
532d239	1.100596	7.5	discard	resid_lambdas=0.88 (0.90 still optimal)
ad7287c	1.097571	7.5	discard	grad clip 1.0 (no improvement)
3348431	1.111021	9.2	discard	ASPECT_RATIO=128/640dim (too slow)
ec42d35	1.104576	6.8	discard	depth=6 384dim (too narrow)
d572029	1.126385	10.7	discard	depth=6 512dim (too slow, 860 steps)
2b38099	1.097497	7.5	keep	resid_params LR*0.005 (improvement!)
0dfcc59	1.098202	7.5	discard	resid_params LR*0.002 (0.005 better)
be911c3	1.097695	7.5	discard	resid_params LR*0.007 (0.005 better)
742cf15	1.100841	7.5	discard	x0_params LR=0.5 (1.0 better)
53f8ba2	1.097994	7.5	discard	x0_params LR=1.5 (1.0 better)
f9940a3	1.097756	7.5	discard	resid_params betas=(0.9,0.95)
46611e4	1.099809	7.7	discard	VE every layer (alternating better)
cfa91f3	1.139020	9.5	discard	label_smoothing=0.01 (much worse)
2ac998b	1.098504	7.5	discard	z-loss 1e-4 (hurts)
aa711f3	1.097788	7.5	discard	Muon momentum start=0.85 (0.80 better)
11b2f67	1.097639	7.5	discard	WD sqrt decay (linear better)
b25a1e5	1.097266	7.2	keep	MLP 3.5x (improvement! more steps)
9e09c0f	1.098323	6.9	discard	MLP 3x (too small)
fdd066d	1.097673	7.4	discard	MLP 3.75x (3.5x better)
b5c1bbd	1.097409	7.2	keep	MATRIX_LR=0.055 (improvement with 3.5x MLP!)
accf9de	1.097611	7.2	discard	MATRIX_LR=0.06 (0.055 better)
c4588ba	1.097458	7.2	discard	WEIGHT_DECAY=0.09 (0.08 slightly better)
ab9f793	1.097457	7.2	discard	embedding WD=0.005 (0.004 still optimal)
f9dc6b1	1.097243	7.2	keep	EMBEDDING_LR=0.45 (improvement!)
