Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 5, 'n_head': 7, 'n_kv_head': 7, 'n_embd': 448, 'window_pattern': 'S'}
Parameter counts:
  wte                     : 3,670,016
  value_embeds            : 11,010,048
  lm_head                 : 3,670,016
  transformer_matrices    : 11,039,728
  scalars                 : 10
  total                   : 29,389,818
Estimated FLOPs per token: 1.047735e+08
Scaling AdamW LRs by 1/sqrt(448/768) = 1.309307
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011097 | lrm: 1.00 | dt: 18429ms | tok/sec: 3,556 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.869447 | lrm: 1.00 | dt: 171ms | tok/sec: 383,505 | mfu: 4.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.398348 | lrm: 1.00 | dt: 175ms | tok/sec: 373,553 | mfu: 4.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.948804 | lrm: 1.00 | dt: 174ms | tok/sec: 375,575 | mfu: 4.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.601063 | lrm: 1.00 | dt: 172ms | tok/sec: 380,756 | mfu: 4.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.326423 | lrm: 1.00 | dt: 177ms | tok/sec: 370,008 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.099412 | lrm: 1.00 | dt: 187ms | tok/sec: 350,618 | mfu: 3.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.916304 | lrm: 1.00 | dt: 178ms | tok/sec: 367,650 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.759349 | lrm: 1.00 | dt: 177ms | tok/sec: 370,130 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.635871 | lrm: 1.00 | dt: 176ms | tok/sec: 373,335 | mfu: 4.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.529630 | lrm: 1.00 | dt: 177ms | tok/sec: 370,687 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.441673 | lrm: 1.00 | dt: 179ms | tok/sec: 365,378 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.361517 | lrm: 1.00 | dt: 179ms | tok/sec: 366,662 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.296879 | lrm: 1.00 | dt: 177ms | tok/sec: 371,029 | mfu: 3.9% | epoch: 1 | remaining: 299s    
step 00036 (1.5%) | loss: 5.577941 | lrm: 0.99 | dt: 179ms | tok/sec: 365,977 | mfu: 3.9% | epoch: 1 | remaining: 295s    
step 00037 (1.5%) | loss: 5.556905 | lrm: 0.98 | dt: 180ms | tok/sec: 363,667 | mfu: 3.9% | epoch: 1 | remaining: 295s    
step 00038 (1.6%) | loss: 5.539917 | lrm: 0.98 | dt: 179ms | tok/sec: 365,460 | mfu: 3.9% | epoch: 1 | remaining: 295s    
step 00039 (1.7%) | loss: 5.515687 | lrm: 0.98 | dt: 177ms | tok/sec: 369,711 | mfu: 3.9% | epoch: 1 | remaining: 295s    
step 00040 (1.7%) | loss: 5.503773 | lrm: 0.98 | dt: 179ms | tok/sec: 366,638 | mfu: 3.9% | epoch: 1 | remaining: 295s    
step 00041 (1.8%) | loss: 5.488061 | lrm: 0.98 | dt: 178ms | tok/sec: 367,546 | mfu: 3.9% | epoch: 1 | remaining: 294s    
step 00042 (1.8%) | loss: 5.472185 | lrm: 0.98 | dt: 181ms | tok/sec: 361,125 | mfu: 3.8% | epoch: 1 | remaining: 294s    
step 00043 (1.9%) | loss: 5.457572 | lrm: 0.98 | dt: 180ms | tok/sec: 364,146 | mfu: 3.9% | epoch: 1 | remaining: 294s    
step 00044 (2.0%) | loss: 5.442398 | lrm: 0.98 | dt: 178ms | tok/sec: 367,511 | mfu: 3.9% | epoch: 1 | remaining: 294s    
step 00045 (2.0%) | loss: 5.423178 | lrm: 0.98 | dt: 177ms | tok/sec: 369,529 | mfu: 3.9% | epoch: 1 | remaining: 294s    
step 00046 (2.1%) | loss: 5.410702 | lrm: 0.98 | dt: 178ms | tok/sec: 367,737 | mfu: 3.9% | epoch: 1 | remaining: 294s    
step 00047 (2.1%) | loss: 5.389056 | lrm: 0.98 | dt: 178ms | tok/sec: 367,441 | mfu: 3.9% | epoch: 1 | remaining: 293s    
step 00048 (2.2%) | loss: 5.371385 | lrm: 0.98 | dt: 179ms | tok/sec: 365,360 | mfu: 3.9% | epoch: 1 | remaining: 293s    
step 00049 (2.3%) | loss: 5.357505 | lrm: 0.98 | dt: 178ms | tok/sec: 368,477 | mfu: 3.9% | epoch: 1 | remaining: 293s    
step 00050 (2.3%) | loss: 5.333478 | lrm: 0.98 | dt: 177ms | tok/sec: 370,462 | mfu: 3.9% | epoch: 1 | remaining: 293s    
step 00051 (2.4%) | loss: 5.307294 | lrm: 0.98 | dt: 176ms | tok/sec: 371,379 | mfu: 3.9% | epoch: 1 | remaining: 293s    
step 00052 (2.4%) | loss: 5.292992 | lrm: 0.98 | dt: 180ms | tok/sec: 364,474 | mfu: 3.9% | epoch: 1 | remaining: 293s    
step 00053 (2.5%) | loss: 5.274856 | lrm: 0.98 | dt: 179ms | tok/sec: 365,268 | mfu: 3.9% | epoch: 1 | remaining: 292s    
step 00054 (2.6%) | loss: 5.261895 | lrm: 0.97 | dt: 179ms | tok/sec: 366,495 | mfu: 3.9% | epoch: 1 | remaining: 292s    
step 00055 (2.6%) | loss: 5.248725 | lrm: 0.97 | dt: 180ms | tok/sec: 364,079 | mfu: 3.9% | epoch: 1 | remaining: 292s    
step 00056 (2.7%) | loss: 5.240794 | lrm: 0.97 | dt: 179ms | tok/sec: 366,805 | mfu: 3.9% | epoch: 1 | remaining: 292s    
step 00057 (2.7%) | loss: 5.224604 | lrm: 0.97 | dt: 180ms | tok/sec: 364,394 | mfu: 3.9% | epoch: 1 | remaining: 292s    
step 00058 (2.8%) | loss: 5.204822 | lrm: 0.97 | dt: 180ms | tok/sec: 364,283 | mfu: 3.9% | epoch: 1 | remaining: 291s    
step 00059 (2.9%) | loss: 5.188519 | lrm: 0.97 | dt: 178ms | tok/sec: 368,704 | mfu: 3.9% | epoch: 1 | remaining: 291s    
step 00060 (2.9%) | loss: 5.170914 | lrm: 0.97 | dt: 178ms | tok/sec: 367,313 | mfu: 3.9% | epoch: 1 | remaining: 291s    
step 00061 (3.0%) | loss: 5.156130 | lrm: 0.97 | dt: 180ms | tok/sec: 364,527 | mfu: 3.9% | epoch: 1 | remaining: 291s    
step 00062 (3.0%) | loss: 5.139056 | lrm: 0.97 | dt: 180ms | tok/sec: 364,011 | mfu: 3.9% | epoch: 1 | remaining: 291s    
step 00063 (3.1%) | loss: 5.125795 | lrm: 0.97 | dt: 180ms | tok/sec: 365,086 | mfu: 3.9% | epoch: 1 | remaining: 291s    
step 00064 (3.2%) | loss: 5.109050 | lrm: 0.97 | dt: 179ms | tok/sec: 366,477 | mfu: 3.9% | epoch: 1 | remaining: 290s    
step 00065 (3.2%) | loss: 5.092137 | lrm: 0.97 | dt: 179ms | tok/sec: 365,302 | mfu: 3.9% | epoch: 1 | remaining: 290s    
step 00066 (3.3%) | loss: 5.072141 | lrm: 0.97 | dt: 179ms | tok/sec: 365,581 | mfu: 3.9% | epoch: 1 | remaining: 290s    
step 00067 (3.3%) | loss: 5.066677 | lrm: 0.97 | dt: 179ms | tok/sec: 366,100 | mfu: 3.9% | epoch: 1 | remaining: 290s    
step 00068 (3.4%) | loss: 5.058367 | lrm: 0.97 | dt: 179ms | tok/sec: 365,332 | mfu: 3.9% | epoch: 1 | remaining: 290s    
step 00069 (3.5%) | loss: 5.033522 | lrm: 0.97 | dt: 179ms | tok/sec: 366,790 | mfu: 3.9% | epoch: 1 | remaining: 289s    
step 00070 (3.5%) | loss: 5.015662 | lrm: 0.97 | dt: 177ms | tok/sec: 369,524 | mfu: 3.9% | epoch: 1 | remaining: 289s    
step 00071 (3.6%) | loss: 5.005470 | lrm: 0.97 | dt: 177ms | tok/sec: 370,377 | mfu: 3.9% | epoch: 1 | remaining: 289s    
step 00072 (3.6%) | loss: 4.994576 | lrm: 0.96 | dt: 178ms | tok/sec: 368,760 | mfu: 3.9% | epoch: 1 | remaining: 289s    
step 00073 (3.7%) | loss: 4.985464 | lrm: 0.96 | dt: 176ms | tok/sec: 371,440 | mfu: 3.9% | epoch: 1 | remaining: 289s    
step 00074 (3.7%) | loss: 4.970849 | lrm: 0.96 | dt: 181ms | tok/sec: 362,474 | mfu: 3.8% | epoch: 1 | remaining: 289s    
step 00075 (3.8%) | loss: 4.953638 | lrm: 0.96 | dt: 178ms | tok/sec: 368,668 | mfu: 3.9% | epoch: 1 | remaining: 288s    
step 00076 (3.9%) | loss: 4.941604 | lrm: 0.96 | dt: 178ms | tok/sec: 368,431 | mfu: 3.9% | epoch: 1 | remaining: 288s    
step 00077 (3.9%) | loss: 4.929916 | lrm: 0.96 | dt: 176ms | tok/sec: 371,817 | mfu: 3.9% | epoch: 1 | remaining: 288s    
step 00078 (4.0%) | loss: 4.920287 | lrm: 0.96 | dt: 178ms | tok/sec: 367,766 | mfu: 3.9% | epoch: 1 | remaining: 288s    
step 00079 (4.0%) | loss: 4.904401 | lrm: 0.96 | dt: 179ms | tok/sec: 365,756 | mfu: 3.9% | epoch: 1 | remaining: 288s    
step 00080 (4.1%) | loss: 4.893165 | lrm: 0.96 | dt: 179ms | tok/sec: 365,377 | mfu: 3.9% | epoch: 1 | remaining: 288s    
step 00081 (4.2%) | loss: 4.878116 | lrm: 0.96 | dt: 176ms | tok/sec: 371,619 | mfu: 3.9% | epoch: 1 | remaining: 287s    
step 00082 (4.2%) | loss: 4.863805 | lrm: 0.96 | dt: 176ms | tok/sec: 372,597 | mfu: 3.9% | epoch: 1 | remaining: 287s    
step 00083 (4.3%) | loss: 4.854558 | lrm: 0.96 | dt: 178ms | tok/sec: 368,775 | mfu: 3.9% | epoch: 1 | remaining: 287s    
step 00084 (4.3%) | loss: 4.845716 | lrm: 0.96 | dt: 181ms | tok/sec: 362,517 | mfu: 3.8% | epoch: 1 | remaining: 287s    
step 00085 (4.4%) | loss: 4.836529 | lrm: 0.96 | dt: 180ms | tok/sec: 365,019 | mfu: 3.9% | epoch: 1 | remaining: 287s    
step 00086 (4.5%) | loss: 4.825863 | lrm: 0.96 | dt: 180ms | tok/sec: 363,594 | mfu: 3.8% | epoch: 1 | remaining: 286s    
step 00087 (4.5%) | loss: 4.810381 | lrm: 0.96 | dt: 178ms | tok/sec: 367,802 | mfu: 3.9% | epoch: 1 | remaining: 286s    
step 00088 (4.6%) | loss: 4.800732 | lrm: 0.96 | dt: 180ms | tok/sec: 363,366 | mfu: 3.8% | epoch: 1 | remaining: 286s    
step 00089 (4.6%) | loss: 4.789804 | lrm: 0.95 | dt: 181ms | tok/sec: 362,787 | mfu: 3.8% | epoch: 1 | remaining: 286s    
step 00090 (4.7%) | loss: 4.782032 | lrm: 0.95 | dt: 178ms | tok/sec: 367,759 | mfu: 3.9% | epoch: 1 | remaining: 286s    
step 00091 (4.8%) | loss: 4.775655 | lrm: 0.95 | dt: 182ms | tok/sec: 360,699 | mfu: 3.8% | epoch: 1 | remaining: 286s    
step 00092 (4.8%) | loss: 4.772164 | lrm: 0.95 | dt: 178ms | tok/sec: 367,694 | mfu: 3.9% | epoch: 1 | remaining: 285s    
step 00093 (4.9%) | loss: 4.764804 | lrm: 0.95 | dt: 180ms | tok/sec: 363,893 | mfu: 3.9% | epoch: 1 | remaining: 285s    
step 00094 (4.9%) | loss: 4.756019 | lrm: 0.95 | dt: 180ms | tok/sec: 363,248 | mfu: 3.8% | epoch: 1 | remaining: 285s    
step 00095 (5.0%) | loss: 4.749041 | lrm: 0.95 | dt: 179ms | tok/sec: 365,520 | mfu: 3.9% | epoch: 1 | remaining: 285s    
step 00096 (5.1%) | loss: 4.738830 | lrm: 0.95 | dt: 180ms | tok/sec: 363,625 | mfu: 3.9% | epoch: 1 | remaining: 285s    
step 00097 (5.1%) | loss: 4.733254 | lrm: 0.95 | dt: 180ms | tok/sec: 364,144 | mfu: 3.9% | epoch: 1 | remaining: 284s    
step 00098 (5.2%) | loss: 4.719166 | lrm: 0.95 | dt: 178ms | tok/sec: 368,409 | mfu: 3.9% | epoch: 1 | remaining: 284s    
step 00099 (5.2%) | loss: 4.717677 | lrm: 0.95 | dt: 180ms | tok/sec: 363,456 | mfu: 3.8% | epoch: 1 | remaining: 284s    
step 00100 (5.3%) | loss: 4.705845 | lrm: 0.95 | dt: 179ms | tok/sec: 366,062 | mfu: 3.9% | epoch: 1 | remaining: 284s    
step 00101 (5.4%) | loss: 4.697324 | lrm: 0.95 | dt: 179ms | tok/sec: 366,045 | mfu: 3.9% | epoch: 1 | remaining: 284s    
step 00102 (5.4%) | loss: 4.689398 | lrm: 0.95 | dt: 180ms | tok/sec: 364,103 | mfu: 3.9% | epoch: 1 | remaining: 284s    
step 00103 (5.5%) | loss: 4.673510 | lrm: 0.95 | dt: 179ms | tok/sec: 367,011 | mfu: 3.9% | epoch: 1 | remaining: 283s    
step 00104 (5.5%) | loss: 4.661238 | lrm: 0.95 | dt: 180ms | tok/sec: 364,713 | mfu: 3.9% | epoch: 1 | remaining: 283s    
step 00105 (5.6%) | loss: 4.642849 | lrm: 0.95 | dt: 180ms | tok/sec: 363,777 | mfu: 3.9% | epoch: 1 | remaining: 283s    
step 00106 (5.7%) | loss: 4.636884 | lrm: 0.94 | dt: 178ms | tok/sec: 367,635 | mfu: 3.9% | epoch: 1 | remaining: 283s    
step 00107 (5.7%) | loss: 4.632325 | lrm: 0.94 | dt: 180ms | tok/sec: 364,876 | mfu: 3.9% | epoch: 1 | remaining: 283s    
step 00108 (5.8%) | loss: 4.622222 | lrm: 0.94 | dt: 180ms | tok/sec: 363,648 | mfu: 3.9% | epoch: 1 | remaining: 282s    
step 00109 (5.8%) | loss: 4.614127 | lrm: 0.94 | dt: 179ms | tok/sec: 366,100 | mfu: 3.9% | epoch: 1 | remaining: 282s    
step 00110 (5.9%) | loss: 4.610625 | lrm: 0.94 | dt: 179ms | tok/sec: 366,033 | mfu: 3.9% | epoch: 1 | remaining: 282s    
step 00111 (6.0%) | loss: 4.596442 | lrm: 0.94 | dt: 180ms | tok/sec: 364,807 | mfu: 3.9% | epoch: 1 | remaining: 282s    
step 00112 (6.0%) | loss: 4.582023 | lrm: 0.94 | dt: 180ms | tok/sec: 364,538 | mfu: 3.9% | epoch: 1 | remaining: 282s    
step 00113 (6.1%) | loss: 4.571270 | lrm: 0.94 | dt: 181ms | tok/sec: 362,562 | mfu: 3.8% | epoch: 1 | remaining: 282s    
step 00114 (6.1%) | loss: 4.565406 | lrm: 0.94 | dt: 179ms | tok/sec: 366,701 | mfu: 3.9% | epoch: 1 | remaining: 281s    
step 00115 (6.2%) | loss: 4.552249 | lrm: 0.94 | dt: 179ms | tok/sec: 366,729 | mfu: 3.9% | epoch: 1 | remaining: 281s    
step 00116 (6.3%) | loss: 4.548130 | lrm: 0.94 | dt: 178ms | tok/sec: 367,290 | mfu: 3.9% | epoch: 1 | remaining: 281s    
step 00117 (6.3%) | loss: 4.539005 | lrm: 0.94 | dt: 179ms | tok/sec: 365,440 | mfu: 3.9% | epoch: 1 | remaining: 281s    
step 00118 (6.4%) | loss: 4.520224 | lrm: 0.94 | dt: 178ms | tok/sec: 367,706 | mfu: 3.9% | epoch: 1 | remaining: 281s    
step 00119 (6.4%) | loss: 4.507394 | lrm: 0.94 | dt: 178ms | tok/sec: 368,285 | mfu: 3.9% | epoch: 1 | remaining: 281s    
step 00120 (6.5%) | loss: 4.495319 | lrm: 0.94 | dt: 178ms | tok/sec: 367,209 | mfu: 3.9% | epoch: 1 | remaining: 280s    
step 00121 (6.6%) | loss: 4.482676 | lrm: 0.94 | dt: 177ms | tok/sec: 369,466 | mfu: 3.9% | epoch: 1 | remaining: 280s    
step 00122 (6.6%) | loss: 4.467273 | lrm: 0.94 | dt: 180ms | tok/sec: 364,928 | mfu: 3.9% | epoch: 1 | remaining: 280s    
step 00123 (6.7%) | loss: 4.453923 | lrm: 0.93 | dt: 181ms | tok/sec: 362,939 | mfu: 3.8% | epoch: 1 | remaining: 280s    
step 00124 (6.7%) | loss: 4.441528 | lrm: 0.93 | dt: 179ms | tok/sec: 365,790 | mfu: 3.9% | epoch: 1 | remaining: 280s    
step 00125 (6.8%) | loss: 4.431657 | lrm: 0.93 | dt: 180ms | tok/sec: 363,583 | mfu: 3.8% | epoch: 1 | remaining: 279s    
step 00126 (6.9%) | loss: 4.427241 | lrm: 0.93 | dt: 179ms | tok/sec: 366,849 | mfu: 3.9% | epoch: 1 | remaining: 279s    
step 00127 (6.9%) | loss: 4.416281 | lrm: 0.93 | dt: 180ms | tok/sec: 363,697 | mfu: 3.9% | epoch: 1 | remaining: 279s    
step 00128 (7.0%) | loss: 4.405505 | lrm: 0.93 | dt: 181ms | tok/sec: 361,974 | mfu: 3.8% | epoch: 1 | remaining: 279s    
step 00129 (7.0%) | loss: 4.398573 | lrm: 0.93 | dt: 178ms | tok/sec: 368,871 | mfu: 3.9% | epoch: 1 | remaining: 279s    
step 00130 (7.1%) | loss: 4.396188 | lrm: 0.93 | dt: 182ms | tok/sec: 360,857 | mfu: 3.8% | epoch: 1 | remaining: 279s    
step 00131 (7.2%) | loss: 4.380571 | lrm: 0.93 | dt: 177ms | tok/sec: 369,527 | mfu: 3.9% | epoch: 1 | remaining: 278s    
step 00132 (7.2%) | loss: 4.369607 | lrm: 0.93 | dt: 184ms | tok/sec: 356,859 | mfu: 3.8% | epoch: 1 | remaining: 278s    
step 00133 (7.3%) | loss: 4.354179 | lrm: 0.93 | dt: 177ms | tok/sec: 369,892 | mfu: 3.9% | epoch: 1 | remaining: 278s    
step 00134 (7.3%) | loss: 4.344651 | lrm: 0.93 | dt: 181ms | tok/sec: 362,436 | mfu: 3.8% | epoch: 1 | remaining: 278s    
step 00135 (7.4%) | loss: 4.340806 | lrm: 0.93 | dt: 181ms | tok/sec: 361,558 | mfu: 3.8% | epoch: 1 | remaining: 278s    
step 00136 (7.5%) | loss: 4.328474 | lrm: 0.93 | dt: 177ms | tok/sec: 370,725 | mfu: 3.9% | epoch: 1 | remaining: 277s    
step 00137 (7.5%) | loss: 4.316928 | lrm: 0.93 | dt: 184ms | tok/sec: 355,266 | mfu: 3.8% | epoch: 1 | remaining: 277s    
step 00138 (7.6%) | loss: 4.307360 | lrm: 0.93 | dt: 178ms | tok/sec: 368,970 | mfu: 3.9% | epoch: 1 | remaining: 277s    
step 00139 (7.6%) | loss: 4.296488 | lrm: 0.93 | dt: 180ms | tok/sec: 364,831 | mfu: 3.9% | epoch: 1 | remaining: 277s    
step 00140 (7.7%) | loss: 4.286965 | lrm: 0.92 | dt: 180ms | tok/sec: 363,414 | mfu: 3.8% | epoch: 1 | remaining: 277s    
step 00141 (7.8%) | loss: 4.285943 | lrm: 0.92 | dt: 178ms | tok/sec: 368,563 | mfu: 3.9% | epoch: 1 | remaining: 277s    
step 00142 (7.8%) | loss: 4.272401 | lrm: 0.92 | dt: 184ms | tok/sec: 357,013 | mfu: 3.8% | epoch: 1 | remaining: 276s    
step 00143 (7.9%) | loss: 4.258017 | lrm: 0.92 | dt: 177ms | tok/sec: 369,964 | mfu: 3.9% | epoch: 1 | remaining: 276s    
step 00144 (7.9%) | loss: 4.256183 | lrm: 0.92 | dt: 181ms | tok/sec: 361,981 | mfu: 3.8% | epoch: 1 | remaining: 276s    
step 00145 (8.0%) | loss: 4.248161 | lrm: 0.92 | dt: 178ms | tok/sec: 367,813 | mfu: 3.9% | epoch: 1 | remaining: 276s    
step 00146 (8.1%) | loss: 4.236256 | lrm: 0.92 | dt: 181ms | tok/sec: 361,796 | mfu: 3.8% | epoch: 1 | remaining: 276s    
step 00147 (8.1%) | loss: 4.234486 | lrm: 0.92 | dt: 180ms | tok/sec: 364,613 | mfu: 3.9% | epoch: 1 | remaining: 275s    
step 00148 (8.2%) | loss: 4.233291 | lrm: 0.92 | dt: 179ms | tok/sec: 366,853 | mfu: 3.9% | epoch: 1 | remaining: 275s    
step 00149 (8.2%) | loss: 4.229432 | lrm: 0.92 | dt: 182ms | tok/sec: 359,866 | mfu: 3.8% | epoch: 1 | remaining: 275s    
step 00150 (8.3%) | loss: 4.218624 | lrm: 0.92 | dt: 178ms | tok/sec: 368,597 | mfu: 3.9% | epoch: 1 | remaining: 275s    
step 00151 (8.4%) | loss: 4.216888 | lrm: 0.92 | dt: 182ms | tok/sec: 361,056 | mfu: 3.8% | epoch: 1 | remaining: 275s    
step 00152 (8.4%) | loss: 4.207971 | lrm: 0.92 | dt: 179ms | tok/sec: 365,787 | mfu: 3.9% | epoch: 1 | remaining: 275s    
step 00153 (8.5%) | loss: 4.202122 | lrm: 0.92 | dt: 181ms | tok/sec: 361,688 | mfu: 3.8% | epoch: 1 | remaining: 274s    
step 00154 (8.5%) | loss: 4.188649 | lrm: 0.92 | dt: 178ms | tok/sec: 367,696 | mfu: 3.9% | epoch: 1 | remaining: 274s    
step 00155 (8.6%) | loss: 4.182313 | lrm: 0.92 | dt: 180ms | tok/sec: 363,177 | mfu: 3.8% | epoch: 1 | remaining: 274s    
step 00156 (8.7%) | loss: 4.167404 | lrm: 0.92 | dt: 179ms | tok/sec: 365,975 | mfu: 3.9% | epoch: 1 | remaining: 274s    
